Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,,,,,,,,0.00640000,-0.00550000,0.01500000,0.00390000,0.01130000
2017,0.01250000,0.00730000,0.02060000,0.00100000,0.00010000,0.01160000,0.01100000,0.00610000,0.02240000,0.00340000,0.01250000,0.01510000
2018,0.01360000,0.00900000,0.01260000,0.00110000,0.00080000,0.00730000,0.01650000,0.00250000,0.01210000,0.00710000,0.00690000,-0.00370000
2019,0.00760000,-0.00100000,0.00670000,0.00970000,-0.00080000,0.00660000,-0.03340000,0.00610000,0.00520000,0.01640000,-0.00210000,0.02770000
2020,0.00730000,0.02460000,-0.05070000,0.05060000,0.03250000,0.00590000,0.01910000,0.00930000,-0.00630000,0.02280000,-0.00570000,0.02750000
2021,0.00960000,-0.00280000,0.01250000,0.02010000,0.00370000,0.02000000,-0.00620000,0.01160000,0.01060000,0.01780000,-0.01670000,0.02310000
2022,0.02470000,0.01940000,-0.00210000,0.01650000,0.02000000,-0.00420000,0.01700000,0.04390000,0.01490000,-0.00700000,-0.00220000,0.01920000
2023,-0.00030000,0.00180000,0.00020000,-0.01910000,-0.00780000,-0.00490000,0.04550000,0.02410000,0.04570000,0.00250000,-0.01310000,0.02600000
2024,0.00840000,0.00660000,0.00570000,0.01700000,0.01740000,0.00750000,-0.00740000,0.02430000,0.03140000,0.00630000,-0.00810000,0.01750000
2025,0.01090000,-0.01510000,,,,,,,,,,
