Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,1.20000,,,,,,,,,,,
2024,0.90000,-0.30000,-0.80000,0.10000,1.00000,4.80000,2.00000,0.10000,2.40000,-0.50000,2.30000,-1.30000
2023,2.80000,-1.60000,1.10000,0.00000,-2.70000,7.50000,2.70000,-1.70000,1.30000,0.10000,3.80000,1.60000
2022,-2.70000,-0.70000,-1.50000,-5.70000,1.10000,-2.00000,2.70000,0.70000,-4.50000,-1.10000,8.30000,0.10000
2021,-0.90000,-5.90000,1.40000,-0.10000,3.60000,1.50000,0.30000,0.30000,-3.40000,-2.80000,2.20000,2.00000
2020,1.50000,-3.30000,13.70000,4.00000,1.60000,2.70000,1.50000,-2.20000,0.90000,1.50000,-0.50000,4.50000
2019,1.30000,-1.00000,1.10000,0.20000,0.00000,2.60000,0.60000,-0.50000,-2.60000,-0.80000,0.40000,5.10000
2018,0.70000,6.40000,-1.10000,-0.70000,-2.40000,-7.00000,1.50000,-2.30000,-1.10000,2.70000,2.30000,2.30000
2017,1.30000,0.70000,0.90000,2.70000,0.70000,-2.10000,1.50000,0.50000,1.30000,-5.60000,-0.10000,6.50000
2016,6.30000,-1.20000,1.50000,-0.70000,-1.50000,3.90000,0.80000,-0.80000,0.90000,-0.60000,-0.40000,0.80000
2015,5.20000,-2.10000,-1.30000,-1.50000,-2.20000,0.90000,-0.80000,-0.20000,1.20000,1.20000,-0.70000,-8.40000
2014,5.50000,4.90000,2.80000,-0.10000,0.70000,0.40000,0.70000,-0.70000,-1.70000,2.80000,2.00000,-2.80000
2013,-0.70000,-0.10000,-1.10000,4.80000,-7.50000,-7.50000,-1.00000,-3.50000,4.10000,2.30000,-2.20000,-0.50000
2012,-3.70000,-1.60000,0.00000,1.50000,6.90000,2.70000,2.70000,-0.70000,0.40000,-0.50000,1.10000,1.40000
2011,-3.90000,2.50000,0.10000,1.20000,1.30000,0.90000,3.00000,8.90000,-3.20000,3.80000,0.40000,-0.60000
2010,5.50000,-0.60000,3.80000,3.10000,0.40000,0.80000,2.80000,5.00000,0.50000,4.80000,-3.40000,0.30000
2009,4.60000,-7.40000,4.80000,2.90000,-1.90000,-1.90000,4.20000,-0.10000,-0.80000,6.20000,5.60000,0.20000
2008,,,,,,,,,,11.70000,3.10000,2.70000
