Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,,,,,,,,,,0.03000,0.00000,0.01000
2009,0.01000,0.01000,0.00000,0.01000,0.00000,0.03000,0.02000,0.02000,0.03000,0.01000,-0.01000,0.01000
2010,0.01000,-0.01000,0.02000,0.03000,0.03000,0.04000,0.01000,0.07000,0.01000,-0.05000,0.08000,-0.05000
2011,0.06000,0.05000,0.02000,0.00000,0.05000,0.02000,-0.01000,-0.03000,0.07000,-0.02000,0.06000,0.01000
2012,0.11000,0.03000,0.06000,-0.03000,0.01000,-0.03000,0.02000,-0.03000,0.00000,0.06000,0.00000,0.02000
2013,-0.12000,0.11000,0.01000,0.03000,-0.01000,-0.01000,0.08000,-0.03000,0.07000,0.11000,0.05000,0.09000
2014,0.08000,0.02000,-0.02000,-0.07000,0.11000,0.00000,0.07000,-0.01000,0.04000,0.07000,0.04000,0.03000
2015,0.04000,0.04000,-0.02000,0.04000,0.01000,0.00000,0.00000,0.00000,0.04000,-0.01000,0.07000,0.00000
2016,-0.04000,-0.01000,0.02000,0.06000,-0.01000,0.03000,0.01000,0.03000,-0.02000,0.01000,-0.01000,0.01000
2017,-0.03000,-0.03000,0.02000,0.01000,-0.04000,-0.01000,0.04000,0.05000,-0.05000,-0.01000,0.01000,0.03000
2018,0.00000,0.02000,0.00000,-0.03000,0.03000,0.00000,0.02000,0.00000,0.02000,0.00000,0.00000,0.06000
2019,0.01000,0.00000,0.02000,0.04000,0.06000,-0.04000,-0.01000,-0.03000,0.01000,0.00000,0.07000,-0.07000
2020,0.02000,-0.05000,0.13000,0.02000,0.04000,0.04000,0.18000,0.05000,0.02000,-0.05000,0.09000,0.03000
2021,0.06000,0.01000,0.05000,0.00000,0.07000,-0.03000,0.03000,0.01000,0.00000,-0.02000,-0.03000,0.03000
2022,0.01000,-0.04000,-0.07000,0.04000,0.04000,0.01000,0.01000,-0.07000,0.00000,0.04000,-0.02000,0.01000
2023,0.00000,-0.03000,0.00000,0.00000,-0.04000,0.07000,0.07000,0.02000,0.02000,-0.02000,0.02000,-0.03000
2024,0.05000,0.07000,0.03000,0.01000,-0.01000,0.04000,0.03000,0.00000,0.02000,0.01000,0.06000,0.02000
2025,0.01000,0.04000,,,,,,,,,,
