Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,,0.0000,0.0200,0.0200,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,-0.0100,0.0100
2016,-0.0200,0.0100,0.0100,0.0100,0.0200,0.0100,0.0100,0.0200,0.0100,0.0100,0.0100,0.0100
2017,0.0100,0.0100,0.0100,0.0000,0.0100,0.0000,0.0100,0.0200,0.0100,0.0100,0.0100,0.0100
2018,0.0100,0.0200,0.0200,0.0000,0.0100,0.0100,0.0100,0.0100,0.0100,0.0000,0.0200,-0.0100
2019,0.0000,0.0100,0.0100,0.0100,0.0000,0.0100,0.0000,0.0100,0.0000,0.0100,0.0100,0.0100
2020,0.0100,0.0100,-0.0800,0.0200,0.0500,0.0100,0.0300,0.0300,-0.0100,0.0000,0.0200,0.0100
2021,0.0100,0.0100,0.0100,0.0000,0.0100,0.0100,0.0000,0.0100,0.0100,0.0200,-0.0100,0.0200
2022,0.0100,0.0200,0.0100,0.0000,0.0100,-0.0100,0.0300,0.0300,0.0100,0.0000,0.0100,0.0100
2023,0.0100,0.0100,0.0200,0.0100,0.0100,0.0100,0.0000,0.0000,0.0200,0.0000,0.0200,0.0100
2024,0.0100,0.0200,0.0000,0.0200,0.0100,0.0200,0.0000,0.0100,0.0200,0.0100,0.0200,0.0000
2025,0.0100,0.0100,,,,,,,,,,
